communityname,state,pct_urban,med_income,pct_pub_asst,med_fam_income,pct_poverty,pct_not_h_sgrad,pct_coll_grad,pct_unemploy,pct_all_divorc,pers_per_fam,pct_kids2par,pct_work_mom18,pct_kids_born_nevr_marr,pct_immig3,pct_vacant_boarded,own_hous_low_q,own_hous_qrange,rent_low_q,rent_qrange,med_rentpct_hous_inc,pers_emerg_shelt,pers_homeless,police_per_pop,racial_match,pop_density,pct_use_pub_trans,violent_per_pop,non_viol_per_pop
BerkeleyHeightstownship,NJ,100,75122,1.03,79584,1.96,9.9,48.18,2.7,4.47,3.22,90.17,58.88,0.36,0.93,3.12,215900,111000,685,316,23.8,11,0,NA,NA,1845.9,9.63,41.02,1394.59
Marpletownship,PA,100,47917,2.75,55323,3.98,13.72,29.89,2.43,5.42,3.11,85.33,62.43,0.24,0.43,0,136300,63600,467,205,27.6,0,0,NA,NA,2186.7,3.84,127.56,1955.95
Tigardcity,OR,100,35669,2.94,42112,4.75,9.09,30.13,4.01,12.55,2.95,78.85,74.19,0.88,0.82,0.92,74700,37300,370,150,24.1,16,0,NA,NA,2780.9,4.37,218.59,6167.51
Gloversvillecity,NY,0,20580,11.71,26501,17.23,33.68,10.81,9.86,12.91,2.98,62.36,70.27,3.84,0.28,2.54,36400,30100,195,114,28.7,0,0,NA,NA,3217.7,3.31,306.64,NA
Bemidjicity,MN,0,17390,11.21,24018,29.99,23.06,25.28,9.08,9.73,2.98,55.2,68.94,4.7,0.82,3.9,30600,28900,202,160,32.2,2,0,NA,NA,974.2,0.38,NA,9988.79
Springfieldcity,MO,100,21577,7.12,27705,17.78,23.03,20.66,5.72,13.04,2.89,69.79,70.52,1.58,0.32,2.09,37700,35400,215,134,26.4,327,4,NA,NA,1995.7,0.97,442.95,6867.42
Norwoodtown,MA,100,42805,5.41,50394,4.01,13.89,27.01,4.85,7.64,3.14,79.76,72.81,1.18,1.05,1.41,155100,60400,463,361,24.4,0,0,NA,NA,2643.5,9.62,226.63,1890.88
Andersoncity,IN,100,23221,8.81,28901,17.98,28.67,12,8.19,14.94,2.95,58.7,72.44,4.66,0.11,6.39,26300,26100,186,139,26.3,21,0,NA,NA,1515.3,0.7,439.73,4909.26
Fargocity,ND,100,25326,4.21,34269,13.68,11.27,30.24,4.18,8.64,3,79.7,78.51,1.64,0.47,0.45,54500,39200,241,146,25.2,125,15,NA,NA,2399.3,1.41,115.31,4747.58
Wacocity,TX,100,17852,9.06,24058,28.68,31.62,17.02,8.39,12.97,3.11,54.56,69.23,4.71,0.72,5.64,28600,38800,192,177,29.6,43,4,183.53,89.32,1319.3,0.76,1544.24,8903.93
Shermancity,TX,100,24763,7.02,29509,15.61,24.86,19.23,7.19,13.53,2.99,64.64,72.96,2.47,0.53,2.77,32200,41400,234,142,23.8,1,0,NA,NA,816.1,0,722.02,7599.9
SanPablocity,CA,100,25479,23.63,28567,19.02,34.18,11.64,10.16,16.57,3.47,56.36,61.68,7.44,5.78,3.78,92800,49900,406,190,33,20,49,NA,NA,9387.3,11.22,2605.96,8839.53
BowlingGreencity,KY,0,20043,9.6,27655,23.91,28.52,23.41,6.93,11.95,2.92,60.7,68.49,3.56,0.51,1.51,40600,44300,193,136,27.9,28,2,NA,NA,1354.2,0.28,798.39,5508.05
PineBluffcity,AR,100,19143,13.58,24442,27.71,34.5,16.56,11.05,12.74,3.26,50.22,70.59,8.51,0.19,4.06,28100,31800,152,135,29.1,28,0,189.09,63.67,1301.5,0.93,1476.93,7371
NewUlmcity,MN,0,25797,6.6,32055,6.84,25.41,15.31,3.67,7.32,3.04,81.44,85.52,0.87,0.12,0,39700,29200,171,132,24.9,0,0,NA,NA,1481.2,0.08,NA,2720.49
Maplewoodcity,MN,100,37856,4.87,43154,6.22,14.64,20.28,4.17,9.75,3.07,76.9,76.64,2.71,0.26,2.08,73100,33600,376,193,26.9,0,0,NA,NA,1724.8,3.35,NA,5933.23
Enfieldtown,CT,96.51,44635,3.78,48757,2.89,21.62,17.59,4.01,8.38,3.13,79.92,75.19,1.3,0.49,0.16,128000,36700,394,282,24.8,8,1,NA,NA,1314.3,1.28,89.94,3130.42
Glendalecity,CA,100,34372,11.27,39652,14.37,22.83,28.55,6.95,11.12,3.22,74.78,59.33,2.62,13.71,2.25,249800,220000,511,252,30.5,82,17,113.73,92.47,5677.3,4.15,374.07,4246.34
Worthingtoncity,OH,100,49851,1.59,58871,2.35,5.95,54.76,2.57,8.64,3.01,82.05,72.84,0.74,0.56,0.61,89100,58900,303,199,24.6,10,0,NA,NA,2552.7,1.96,112.5,3540.47
Arlingtoncity,TX,100,35048,2.71,41620,8.21,12.19,29.99,4.99,12.77,3.14,75.99,71.53,1.89,1.45,1.81,64100,46100,312,157,23.7,47,1,121.78,95.56,2716.3,0.14,772.77,6171.23
Plymouthcity,MN,100,51314,2.41,59421,3.36,5.56,41.39,3.24,9.09,3.14,86.12,73.32,1.31,0.37,0.08,97700,69800,506,157,22.9,0,0,NA,NA,1491.7,2.64,NA,3131.33
NewYorkcity,NY,100,29823,13.12,34360,19.29,31.68,22.98,8.98,11.77,3.27,52.24,56.42,10.5,4.51,4.83,149700,94900,320,295,25.7,23383,10447,350.5,75.94,22878.2,54.33,2097.71,6164.95
Marinacity,CA,100,29043,6.9,28870,9.67,15.83,17.01,3.5,9.33,3.32,77.88,64.58,1.69,2.25,0.57,150800,45700,512,177,31.6,0,0,NA,NA,2917.9,1.93,644.75,5338.49
Lebanoncity,NH,0,32221,3.37,40745,6.07,17.61,26.78,3.14,11.94,2.93,72.56,77.15,1.78,0.71,1.28,88900,59500,357,196,26.1,2,0,NA,NA,291.4,0.75,145.2,5461
Rockledgecity,FL,100,34934,2.74,39691,5.75,14.21,21.25,5.39,11.99,2.96,72.98,75.78,1.41,0.48,1.14,61700,30600,371,137,24.5,0,0,NA,NA,1581.4,0.58,560.71,5618.16
Rogerscity,AR,0,26198,3.92,31007,8.72,22.43,15.11,3.31,11.54,2.96,76.61,75.45,0.89,0.27,0.34,44800,30700,252,121,24.8,0,0,NA,NA,1073.9,0,204.23,4869.19
Bellairecity,TX,100,45892,0.73,53342,3.33,7.59,48.93,2.69,12.8,2.86,77.07,74.41,0.32,0.04,1.25,83600,63100,445,187,20.2,0,0,NA,NA,3697.1,1.11,347.97,3693.79
ElCajoncity,CA,100,28108,12.74,32096,12.92,21.49,14.45,7.07,16.22,3.09,63.25,62.42,3.29,2.01,1.47,128100,81500,434,153,30.8,13,76,NA,NA,5943,2.17,894.51,7091.62
MosesLakecity,WA,0,23258,10.28,28495,15.28,26.49,14.51,6.5,12.15,3.12,73.66,71.15,1.84,1.71,2.18,40000,34800,195,148,26.2,0,0,NA,NA,1189.1,0.09,1143.9,9143.9
WestMemphiscity,AR,100,22052,13.69,27523,22.94,37.55,10.76,8.34,14.22,3.33,51.11,72.4,9.54,0,8.31,38900,30200,155,163,29,13,0,NA,NA,1900.7,0.1,724.95,4421.48
Eunicecity,LA,0,14874,18.81,19434,38.27,44.84,10.82,13.93,11.08,3.32,62.57,50.89,5.78,0,7.32,24500,31900,114,112,28.6,0,0,NA,NA,2323.5,0.78,1487.34,4722.97
Laredocity,TX,100,18395,16.71,19910,37.29,51.16,11.63,11.24,8.73,4.16,67.71,52.73,2.8,3.43,6.4,33700,41300,161,178,27.6,4,0,123.09,95.47,3608.7,3.55,689.42,5948.83
Amsterdamcity,NY,0,22166,7.08,29893,13.5,31.33,12.33,8.97,10.7,2.96,62.69,69.23,3.28,0.64,2.1,53400,38500,172,131,24.7,2,0,NA,NA,3353.7,2.6,49.93,NA
Gorhamtown,ME,33.1,36618,4.56,40809,4.05,13.97,26,5.73,9.06,3.15,78.23,78.54,0.72,0.07,0,94100,64900,351,201,28,0,0,NA,NA,225.9,0.88,16.72,919.73
RockSpringscity,WY,0,34372,5.74,41095,8.87,17.5,14.84,5.13,11.89,3.22,77.97,68.72,1.06,0,7.53,55600,34000,210,149,19,5,0,NA,NA,998.4,5.76,649.83,5764.78
Oakdalecity,CA,0,27230,13.22,30357,12.63,30.95,9.97,10.34,14.31,3.12,67.82,61.73,2.51,1.16,1.08,83000,62000,315,182,28.7,11,0,NA,NA,2853.3,0,346.97,5255.17
Hendersoncity,NC,0,18499,13.17,21753,24.07,43.91,11.92,7.91,14.13,3.1,42.97,75.86,9.53,0.13,4.9,33800,40600,116,133,29.5,0,0,NA,NA,2134,0.11,1770.94,11428.4
Norcocity,CA,100,51594,5.92,52659,5.34,24.25,10.32,5.1,9.94,3.49,75.36,57.79,3.46,0.48,3.63,153000,106300,458,385,28.2,0,0,NA,NA,1641.4,0.27,609.81,4458.44
Greenvillecity,MS,0,18060,18.48,23068,31.96,38.54,15.58,12.45,13.52,3.49,42.18,73.08,12.32,0.11,12.14,29100,30900,132,163,32.3,6,0,NA,NA,1672.6,0.24,559.55,10379.78
SanCarloscity,CA,100,54658,2.52,63337,2.73,8.38,35.77,2.43,11.26,2.82,81.21,71,0.58,0.8,0.68,328100,171901,611,361,26.6,0,0,NA,NA,4486.8,3.98,205.56,2810.46
SanAngelocity,TX,100,23534,6.25,27832,18.5,29.08,17.61,7.71,12.12,3.16,70.45,71.83,1.9,0.42,1.64,33000,37200,237,150,25.4,240,1,171.47,93.65,1702.6,0.68,512.19,NA
Barbertoncity,OH,100,21688,12.39,26443,16.93,31.19,7.88,8.67,12.63,3.03,64.74,61.45,4.37,0.07,3.39,33800,22700,180,133,26.6,0,0,NA,NA,3513.5,1.91,734.61,4672.83
Pontiaccity,MI,100,21962,22.07,25834,26.67,37.61,7.95,14.4,17.89,3.34,41.73,59.61,12.73,0.27,12.83,27800,17900,257,191,30.5,132,3,228.21,80.81,3434.7,0.9,NA,6269.29
Suffolkcity,VA,74.94,26125,10.49,31379,17.28,36.09,12.26,7.06,11,3.21,59.27,70.29,8.21,0.09,9.83,48700,50700,157,198,28.7,0,10,NA,NA,125.8,1.63,919.33,5227.58
Martinsvillecity,VA,0,22446,8.64,29604,15.61,37.05,15.82,5.68,13.39,2.95,53.26,77.01,7.8,0.04,5.52,37000,47400,183,134,23.7,17,3,NA,NA,1423.7,0,682.23,7554.61
Bricktownship,NJ,100,38742,3.6,44680,3.74,20.23,16.51,5.55,7.69,3.1,82.61,64.45,1.03,0.26,0.72,105300,61500,509,216,32.6,17,0,NA,NA,2441,1.75,131.47,2543.13
LagunaBeachcity,CA,100,53419,2.75,70219,6.14,5.87,49.02,1.84,16.9,2.65,74.71,70.85,0.3,1.97,0.57,343900,156101,652,349,27.9,6,50,NA,NA,2575.6,1.97,794.41,5939.36
Robstowncity,TX,0,16180,24.32,18788,37.04,61.8,6.31,12.26,10.59,3.96,61.18,44.65,3.45,0,25.81,19200,24500,105,138,28.7,0,0,NA,NA,1345.2,1.23,420.91,5095.26
Wyomingcity,MI,100,31103,4.69,35161,7.07,21.43,13.17,5.13,11.33,3.15,75.93,74.84,2.5,0.28,0.79,47200,23200,350,104,23,0,0,NA,NA,2539,0.59,NA,4869.53
Hastingscity,MN,0,36091,3.41,41312,5,18.63,16.75,5.18,9.66,3.22,79.48,80.26,1.42,0.26,0.69,69500,27900,344,110,27.2,0,0,NA,NA,1641.9,1.69,NA,3207.26
Paragouldcity,AR,0,19985,8.77,24252,18.82,39.87,11.26,7.01,12.75,2.92,72.93,73.04,0.67,0,4.66,30500,29500,153,121,26,7,0,NA,NA,616.9,0.23,92.91,3121.66
BeverlyHillscity,CA,100,54348,3.47,83272,6.6,10.57,46.95,3.8,12.23,2.87,77.69,55.66,1.04,4.73,1.38,500001,0,660,341,29.5,0,5,378.44,97.57,5437.2,4.31,1087.25,7394.5
UniversityHeightscity,OH,100,43376,2.47,51327,2.9,9.16,47,4.65,6.2,2.99,83.27,75.55,2.22,0.74,0,75900,36000,411,175,27.5,0,0,NA,NA,7812.2,5.81,237.45,1948.46
Marioncity,OH,0,22439,12.41,27049,16.85,30.32,9.41,10.98,14.6,3.1,66.69,66.36,2.97,0,3.38,24100,24000,185,99,25.6,4,0,NA,NA,4102.3,1.01,212.87,6403.36
Toledocity,OH,100,24819,12.29,30980,19.09,26.84,14.06,9.92,13.62,3.13,58.92,66.3,6,0.53,13.37,33800,34700,210,155,27.2,260,12,210.82,97.91,3988.5,3,984.96,7910.25
Philadelphiacity,PA,100,24603,13.98,30140,20.27,35.69,15.22,9.62,12.53,3.26,47.22,62.23,11.53,1.08,21.96,27900,49200,252,231,29.8,3416,1069,426.38,79.54,11326,29.31,1279.6,5253.14
Newtoncity,MA,100,59719,2.91,70071,4.33,8.34,57.22,3.94,6.41,3.05,84.77,74.67,0.7,2.09,0.29,224100,169700,578,423,25.2,196,0,NA,NA,4413,12.27,256.34,2556.39
OrmondBeachcity,FL,100,32704,4.52,37695,6.72,15.77,26.17,4.21,10.31,2.75,74.95,70.28,1.18,0.41,0.81,71000,57900,335,241,28.3,0,0,NA,NA,1137.7,0.77,142.7,4091.83
Lynchburgcity,VA,100,23726,7.54,30141,16.45,30.52,21.74,5.97,11.25,2.98,59.7,72.3,5.88,0.51,4.31,38200,42100,179,174,24.7,47,0,205.48,81.87,1290.5,3.33,753.42,4630.73
Clintoncity,MS,100,36770,3.8,42144,9.48,13.22,38.29,3.37,9.11,3.21,74.47,76.48,3.9,0.71,0.94,60700,32100,292,121,25.6,0,0,NA,NA,885.5,0.24,122.69,2721.06
Andersoncity,SC,100,19433,8.88,25523,19.89,37.36,16.96,7.46,12.75,3.03,49.67,76.59,7.89,0.11,2.41,34000,40600,148,173,24.6,12,6,NA,NA,2042.4,0.88,1849.3,6474.24
Mesquitecity,TX,100,35934,4.08,40198,7.73,18.76,18.31,4.74,13.21,3.23,74.52,76.4,1.78,0.49,5.24,52900,34300,334,149,24.3,0,4,138.21,92.83,2286.9,1.22,566.64,NA
ParkForestvillage,IL,100,36995,4.16,41144,4.89,13.06,24.93,4.94,12.71,3.14,70.17,75.25,3.72,0.16,0.31,45900,26400,261,235,22.7,0,0,NA,NA,4826.9,11.71,NA,3012.5
ChippewaFallscity,WI,100,23056,8.75,30546,11.12,25.73,13.05,6.85,10.14,3,72.67,74.49,1.89,0,2.54,34000,21900,191,143,27.1,0,0,NA,NA,1249.9,0.19,51.91,3374.37
Beavercreekcity,OH,100,49143,1.98,52531,3.51,11.01,37.21,3.13,5.81,3.14,88.59,69.9,0.32,0.52,0.22,79100,45900,388,196,22.9,0,0,NA,NA,1260.7,0.34,94.97,3498.22
Keenecity,NH,0,31235,4.67,38391,8.06,16.34,28.98,6.42,10.46,2.97,73.75,75.69,1.74,0.2,0.44,90900,51500,346,249,29.7,1,0,NA,NA,580.3,0.03,422.05,4567.06
Springfieldtownship,OH,73.6,32713,5.23,36199,8.79,25.83,13.65,5.41,8.48,3.02,77.61,72.52,1.16,0.04,2.27,46700,43400,158,164,24.3,4,0,NA,NA,369.6,0.2,452.4,3389.19
Swissvaleborough,PA,100,23773,8.65,26537,12.53,21.74,20.9,6.62,11.16,2.88,64.25,64.4,2.99,0,5.87,30900,25700,256,130,24.4,0,0,NA,NA,8564.4,16.83,407.12,3739.82
Knoxvillecity,TN,100,19923,9.69,26131,20.8,29.21,21.73,7.11,14.23,2.88,57.18,65.69,4.81,0.71,7.04,35900,33700,187,156,26.5,354,130,175.62,87.37,2063.3,1.93,1693.42,6179.34
Kernersvilletown,NC,0,25649,2.24,32919,8.46,25.51,16.96,5.99,15.37,2.82,65.51,84.51,2.38,0.33,1.27,56900,50300,243,117,22.5,0,0,NA,NA,1451,0,462.24,5956.91
Bloomingtoncity,MN,100,41736,2.63,48608,3.7,8.76,31.69,3.28,9.4,2.95,80.39,78.55,1.27,0.5,0.15,82600,45000,465,182,25.8,0,0,NA,NA,2345.2,3.14,NA,NA
ScotchPlainstownship,NJ,100,58194,2.35,64920,1.49,12.02,41.42,3.75,6.47,3.13,83.94,65.23,0.67,1.08,2.53,168700,116200,618,195,23.5,0,0,NA,NA,2250.1,7.6,115.14,2160.1
Newingtontown,CT,100,45481,2.87,50916,1.79,20.02,24.89,3.44,8.57,3.01,81.3,79.94,0.85,0.53,0.26,139000,56100,515,217,24.7,0,0,NA,NA,2139.7,1.46,78.65,3553.11
Moberlycity,MO,0,20569,6.53,26654,18.27,31.36,14.2,8.52,11.36,3,67.77,76.08,2.49,0.09,0.65,19700,33000,134,108,25.3,0,0,NA,NA,1227.9,0.55,985.03,4767.53
Sandycity,UT,100,43971,2.59,45611,4.21,6.93,29.42,3.56,6.38,4.1,89.56,65.64,0.43,0.3,1.31,70400,40800,293,245,22.8,0,0,NA,NA,3625.3,2.34,131.68,3715.75
Wheatoncity,IL,100,52208,1.94,60709,5.12,7.8,49.38,2.42,7.31,3.21,87.61,67.26,0.68,1.1,0.23,115600,87900,483,218,26.8,0,0,NA,NA,4486.1,9.74,NA,2395.42
WhiteLaketownship,MI,82.94,42549,5.63,46578,4.36,16.57,16.76,6.2,10.75,3.22,80.98,71.03,2.64,0.18,0.61,71800,60300,364,169,23.8,0,0,NA,NA,648.8,0.18,NA,3577.58
Chickashacity,OK,0,18357,10.04,22964,23.15,33.47,18.06,9.5,13.15,2.98,64.73,69.09,2.65,0.19,6.94,23400,32700,158,124,26.9,17,0,NA,NA,1057.3,0,1134.5,5292.15
Tucsoncity,AZ,99.98,21748,6.58,27208,20.16,21.39,20.71,8.12,14.15,3.1,61.93,68.39,4.29,2.03,2.07,52200,33400,260,146,29.6,437,102,165.56,99.01,2503.8,4.29,969.6,9943.53
Gallowaytownship,NJ,64.02,41944,3.11,45986,4.35,18.12,20.42,4.1,9.3,3.13,75.91,71.3,2.48,0.25,0.86,86200,56600,548,127,24.3,0,0,NA,NA,249.1,1.66,251.24,3668.03
Sweetwatercity,TX,0,19157,8.36,23440,23.02,41.2,11.11,8.51,10.51,3.17,70.05,65.79,1.79,0.07,4.85,15700,28300,125,134,27.9,0,0,NA,NA,1329.7,0.58,934.12,5735.82
Portsmouthcity,NH,100,30591,4.68,34344,6.68,11.2,26.55,5.12,12.53,2.99,75.06,75.1,1.69,0.36,2.5,110300,58200,390,233,26.4,65,0,NA,NA,1602.6,0.99,377.97,4550.02
Hulltown,MA,100,37683,7.14,42734,8.02,14.63,19.66,7.31,12.32,3.24,67.48,65.72,2.85,0.2,13.56,125900,66300,509,333,29.4,56,0,NA,NA,3397.6,8.66,889.65,2039.9
Scotttownship,PA,100,34644,2.46,42345,4.13,16.84,29.72,3.05,7.8,2.89,82.4,71.98,0.77,0.19,0.31,55000,32800,359,188,21.6,0,0,NA,NA,4180.8,11.76,40.21,1654.22
Pittsfieldtownship,MI,70.5,34639,3.63,45597,9.33,12.12,38.51,3.78,11.31,3.01,73.64,73.58,5.53,1.95,0.13,94300,53100,471,124,24.5,0,0,NA,NA,606.6,2.48,NA,8642.72
Duncanvillecity,TX,100,41028,2.52,46108,3.78,12.99,29.02,4.57,11.2,3.22,76.06,73.78,1.81,0.2,0.59,65300,52200,349,204,26.2,0,0,NA,NA,3057.5,0.89,465.96,5063.56
Mexicocity,MO,0,23744,8.81,29171,14.35,30.01,13.93,4.48,10.57,2.91,69.43,77.08,2.12,0.15,1.86,25900,30000,118,134,25.8,0,0,NA,NA,1098.7,0.63,150.04,2338.92
NewProvidenceborough,NJ,100,62420,2.04,70618,2.45,9.49,48.6,2.71,5.8,3.1,90.33,66.83,0.38,1.38,1.19,205800,89500,607,352,24.9,0,0,NA,NA,3001.1,7.98,49.56,1032.55
Barnstabletown,MA,83.39,33411,5.68,40299,6.78,11.27,28.3,7.22,10.93,2.89,71.66,68.72,1.87,0.89,0.96,128400,92600,419,270,31.8,273,6,NA,NA,658.2,1.18,1812.62,3277.2
Rutherfordborough,NJ,100,46499,2.85,55878,3.68,16.92,32.44,4.17,7.38,3.17,83.65,69.23,1.33,2.72,2.99,181000,60300,489,243,24.9,5,0,NA,NA,6118.4,18.82,129.13,2094.09
Portlandcity,OR,100,25592,6.9,32424,14.53,17.1,25.95,6.16,16.07,2.96,63.51,70.4,3.97,1.72,5.5,44500,38800,269,149,25.8,1553,149,167.68,91.4,3386.2,11.41,1841.38,9577.37
Manassascity,VA,100,46674,3.24,51045,3.79,15.79,25.82,3.3,11,3.27,79.06,74.66,2.8,0.96,1.46,116600,68800,522,171,25.5,7,0,NA,NA,2695.4,1,301.31,4038.14
Torrancecity,CA,100,47204,4.3,55678,5.15,12.38,31.23,3.95,11.64,3.04,77.43,66.06,1.37,4.93,1.56,272900,147300,610,325,26.9,0,18,139.65,82.16,6260.9,1.53,620.53,5352.95
SouthJordancity,UT,100,43804,3.16,45205,3.21,9.1,22.85,3.21,4.1,4.5,91.5,62.54,0.44,0,7.14,78000,40500,257,287,21.7,0,0,NA,NA,585.8,1.27,190.84,3302.11
RedwoodCitycity,CA,100,42962,5.3,49851,8.3,18.45,27.09,3.82,13.43,3.08,69.83,73.54,3.48,4.47,0.59,274700,167500,558,325,28.6,91,125,NA,NA,3349.1,3.85,726.59,4174.62
Lancastertownship,PA,97.79,35855,4.14,42245,6.27,21.66,27.84,3.31,9.55,2.81,75.4,75.28,1.77,0.82,0.5,70700,69600,403,132,25.1,0,0,NA,NA,2104.5,1.68,74.56,3183.72
Algonquinvillage,IL,100,53665,0.18,55955,1.65,9.45,32.89,2.29,6.16,3.32,91.8,60.18,0.48,0.04,2,109900,50400,399,182,20.5,0,0,NA,NA,2148.7,3.2,NA,1961.98
Sebastiancity,FL,0,26654,3.65,29464,6.77,26.53,9.91,5.66,9.08,2.74,75.83,69.76,1.68,0.14,0.21,56300,30800,394,114,25.8,0,0,NA,NA,785.2,0,339.96,3739.59
GrandForkscity,ND,100,25456,4.64,32417,14.48,14.24,29.28,5.08,8.28,3.07,76.33,77.17,1.95,0.76,0.85,50800,31000,234,157,26.1,70,0,NA,NA,3304.7,0.95,121.02,5247.7
